details_id,Company,Level,Total_Applicants,Industry,Class,Job_skills 
dt_1,Fifth Column,Mid-Senior level,63,Architecture and Planning ,Class1,Architecture
dt_2,RADIANT,Mid-Senior level,2,Architecture and Planning ,Class1,Economic Development
dt_3,Jio,Mid-Senior level,100,Telecommunications ,Class2,Product Management
dt_4,Hyqoo,Associate,100,IT Services and IT Consulting ,Class1,Data Governance
dt_5,Dr. Reddy's Laboratories,Mid-Senior level,56,Pharmaceutical Manufacturing ,Class2,Business-to-Business (B2B)
dt_6,DMart - Avenue Supermarts Ltd,Mid-Senior level,100,Retail ,Class5,Land Acquisition
dt_7,Ipca Laboratories Limited,Mid-Senior level,100,Pharmaceutical Manufacturing ,Class2,Environment
dt_8,Birlasoft,Associate,100,IT Services and IT Consulting ,Class2,CPI
dt_9,Nagarro,Mid-Senior level,100,IT Services and IT Consulting ,Class2,JavaScript
dt_10,FNP,Mid-Senior level,100,Retail ,Class1,Business Development
dt_11,NationsBenefits India,Mid-Senior level,100,IT Services and IT Consulting ,Class1,Transact-SQL (T-SQL)
dt_12,Birlasoft,Mid-Senior level,2,IT Services and IT Consulting ,Class2,Oracle Analytics Cloud (OAC)
dt_13,Birlasoft,Mid-Senior level,43,IT Services and IT Consulting ,Class2,JDE CNC
dt_14,Jio,Mid-Senior level,100,Telecommunications ,Class2,3 of 4 skills match your profile - you may be a good fit
dt_15,BlackRock,Mid-Senior level,35,IT Services and IT Consulting ,Class2,Distributed Applications
dt_16,Delta Air Lines,Mid-Senior level,100,IT Services and IT Consulting ,Class2,2 of 2 skills match your profile - you may be a good fit
dt_17,Infosys,Entry level,27,Telecommunications ,Class2,Product Demonstration
dt_18,IndusInd Bank,Associate,37,Financial Services ,Class2,unknown
dt_19,Bureau Veritas Group,Mid-Senior level,100,Airlines and Aviation ,Class2,Auditing
dt_20,Qatar Airways,Director,100,IT Services and IT Consulting ,Class3,Commercial
dt_21,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,Microsoft SQL Server
dt_22,Infosys BPM,Entry level,100,Environmental Services ,Class2,Data Analysis
dt_23,LTIMindtree,Mid-Senior level,100,Airlines and Aviation ,Class2,SQL DBA
dt_24,Infosys,Mid-Senior level,100,Telecommunications ,Class2,Java
dt_25,NAB,Mid-Senior level,100,Financial Services ,Class2,SQL
dt_26,NAB,Mid-Senior level,100,Financial Services ,Class2,SQL
dt_27,Marsh McLennan,Mid-Senior level,100,Banking ,Class2,Microsoft SQL Server
dt_28,Infogain,Associate,100,IT Services and IT Consulting ,Class2,SQL
dt_29,Tata Consultancy Services,Mid-Senior level,96,IT Services and IT Consulting ,Class2,Storage
dt_30,Asian Paints,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Customer Satisfaction
dt_31,BlackRock,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Compromise
dt_32,Birlasoft,Mid-Senior level,20,IT Services and IT Consulting ,Class2,Self-Directed Learning
dt_33,Sony India Software Centre,Mid-Senior level,40,Banking ,Class2,SAP Products
dt_34,Rakuten India,Director,100,Banking ,Class2,Public Cloud
dt_35,EaseMyTrip.com,Mid-Senior level,100,Financial Services ,Class2,SQL
dt_36,Hitachi Astemo,Entry level,9,IT Services and IT Consulting ,Class5,Process Design
dt_37,Grant Thornton Bharat LLP,Mid-Senior level,100,IT Services and IT Consulting ,Class3,Business Valuation
dt_38,CARS24,Mid-Senior level,100,Manufacturing ,Class2,InVision
dt_39,Gameskraft,Mid-Senior level,100,Financial Services ,Class2,Microsoft Excel
dt_40,HDFC securities,Mid-Senior level,100,IT Services and IT Consulting ,Class2,Investigation
dt_41,Pidilite Industries Limited,Associate,100,IT Services and IT Consulting ,Class4,Product Launch
dt_42,Tata Consultancy Services,Mid-Senior level,34,IT Services and IT Consulting ,Class2,Middleware
dt_43,PcsInfinity Pvt. Ltd.,Mid-Senior level,20,"Technology, Information and Internet ",Class4,SQL Server Analysis Services (SSAS)
dt_44,Tata Communications Transformation Services (TCTS),Associate,100,Travel Arrangements ,Class1,Network Operations Center (NOC)
dt_45,Happiest Minds Technologies,Director,100,Motor Vehicle Manufacturing ,Class2,Revenue Assurance
