,Company,Designation,Location
0,Bell Techlogix India,Database Architect,Greater Hyderabad Area (On-site)
1,Tata Consultancy Services,Application Packaging,"Hyderabad, Telangana, India (Hybrid)"
2,BASF Environmental Catalyst and Metal Solutions,Trainee,"Chennai, Tamil Nadu, India (On-site)"
3,Genpact,Management Trainee- R2R,"Noida, Uttar Pradesh, India (On-site)"
4,Klizo Solutions Pvt Ltd,Python Developer,"Kolkata, West Bengal, India (On-site)"
5,Tata Consultancy Services,Data Engineer,"Bengaluru, Karnataka, India (On-site)"
6,Stealth Startup,Software Engineer Intern,India (Remote)
7,Ossila,Senior Product Design Engineer,"Bengaluru, Karnataka, India (On-site)"
8,Cleartrip,Category Manager,"Bengaluru, Karnataka, India (On-site)"
9,Birlasoft,Principal Consultant- SAP CPI- PI/PO,"Bengaluru, Karnataka, India (Hybrid)"
10,"Indian Institute of Technology, Roorkee",Junior Research Fellow (JRF),"Roorkee, Uttarakhand, India (On-site)"
11,Accenture in India,Application Developer,"Bengaluru, Karnataka, India (Hybrid)"
12,Birlasoft,Developer,"Bengaluru, Karnataka, India (Hybrid)"
13,Tata Consultancy Services,Consultant,Greater Bengaluru Area (On-site)
14,Birlasoft,JDE CSMS Functional Consultant,"Mumbai, Maharashtra, India (Hybrid)"
15,Accenture in India,Application Developer,"Bengaluru, Karnataka, India (Hybrid)"
16,Birlasoft,Solution Architect,Greater Bengaluru Area (Hybrid)
17,Birlasoft,Data Architect,"Hyderabad, Telangana, India (Hybrid)"
18,Nisum,Jira Developer - Th5853,"Hyderabad, Telangana, India (Hybrid)"
19,Birlasoft,Sr Principal Consultant,"Mulshi, Maharashtra, India (Hybrid)"
20,Tata Consultancy Services,Informatica Developer,"Mumbai, Maharashtra, India (On-site)"
21,Techno Wise - 𝚁𝚎𝚌𝚛𝚞𝚒𝚝𝚖𝚎𝚗𝚝 𝚂𝚘𝚕𝚞𝚝𝚒𝚘𝚗𝚜,Appian Lead,"Ahmedabad, Gujarat, India (Remote)"
22,LTIMindtree,AS/400 Administrator,"Bengaluru, Karnataka, India (Hybrid)"
23,Birlasoft,Tools Engineer,"Mulshi, Maharashtra, India (On-site)"
24,Accenture in India,Application Developer,"Bengaluru, Karnataka, India (Hybrid)"
25,Birlasoft,Subcontractor,Greater Bengaluru Area (On-site)
26,Samsung Electronics,"""ASIC-SoC EDA CAD Methodology Design - Sr. Lead"" with 7 15 years","Bengaluru, Karnataka, India (Hybrid)"
27,IBM,AJO Developer (Campaign Technologist),"Bengaluru East, Karnataka, India (On-site)"
28,LinkLumin,Web Designer,"Ludhiana, Punjab, India (On-site)"
29,Birlasoft,Technical Lead,Greater Bengaluru Area (On-site)
30,Birlasoft,Principal Consultant,"Mulshi, Maharashtra, India (Hybrid)"
31,Birlasoft,Oracle PDH Consultant,"Mulshi, Maharashtra, India (On-site)"
32,GravEiens Edu Services Pvt. Ltd.,Professional PPT Designer,"Noida, Uttar Pradesh, India (Remote)"
33,Pocket FM,Ads operation specialist,"Bengaluru, Karnataka, India (On-site)"
34,DViO Digital,Associate Creative Director -Copy,"Pune, Maharashtra, India (On-site)"
35,Virtusa,Nodejs + AWS,"Andhra Pradesh, India (Hybrid)"
36,Birlasoft,Sr Principal Consultant,"Mulshi, Maharashtra, India (On-site)"
37,Guardians EdTech,Business Development Associate,"Bengaluru, Karnataka, India (On-site)"
38,Sopra Steria,SCALA Senior Analyst,"Kanchipuram, Tamil Nadu, India (On-site)"
39,Birlasoft,SAP EWM Functional Consultant,"Noida, Uttar Pradesh, India (Hybrid)"
40,Birlasoft,EBS Financial Consultant,"Pune, Maharashtra, India (Hybrid)"
41,Brilliant Brains | AI Driven Growth Marketing Agency,🚀 We're Hiring: Content Writer & Strategist,"Hyderabad, Telangana, India (Hybrid)"
42,Coddle Technologies Pvt. Ltd.,Lead Generation Executive,"Bengaluru, Karnataka, India (On-site)"
43,Bajaj Allianz Life Insurance,Manager,"Anand, Gujarat, India (On-site)"
44,Curefoods (EatFit),Senior Executive - Finance,"Bengaluru, Karnataka, India (On-site)"
45,EY,Work Force Management Staff - 1-3 Years- Kochi,"Kanayannur, Kerala, India (On-site)"
46,Tech Mahindra,Amazon Connect,"Bengaluru, Karnataka, India (Hybrid)"
47,Welspun Transformation Services Limited,Master Data COE,"Ahmedabad, Gujarat, India (On-site)"
48,Birlasoft,Lead Consultant- SAP GRC & Security,"Pune, Maharashtra, India (Hybrid)"
49,Lowe's India,"Specialist, VSM","Bengaluru, Karnataka, India (On-site)"
